ejercicio;ubicacion_geografica;descripcion
2014;1;Comuna 1
2014;14;Comuna 14
2014;4;Comuna 4
2014;11;Comuna 11
2014;12;Comuna 12
2014;7;Comuna 7
2014;3;Comuna 3
2014;15;Comuna 15
2014;2;Comuna 2
2014;5;Comuna 5
2014;6;Comuna 6
2014;8;Comuna 8
2014;9;Comuna 9
2014;10;Comuna 10
2014;13;Comuna 13
2014;89;Zona externa a la Ci
2014;41;Distrito Escolar 21
2014;35;Distrito Escolar 15
