ejercicio;finalidad;funcion;descripcion
2013;1;11;LEGISLATIVA
2013;1;12;JUDICIAL
2013;1;13;DIRECCION EJECUTIVA
2013;1;16;ADMINISTRACION FISCAL
2013;1;17;CONTROL DE LA GESTION
2013;1;;ADMINISTRACION GUBERNAMENTAL
2013;3;32;PROMOCION Y ACCION SOCIAL
2013;3;31;SALUD
2013;3;34;EDUCACION
2013;3;35;CULTURA
2013;3;37;VIVIENDA
2013;3;38;AGUA POTABLE Y ALCANTARILLADO
2013;3;36;TRABAJO
2013;3;;SERVICIOS SOCIALES
2013;2;22;SEGURIDAD INTERIOR
2013;2;;SERVICIOS DE SEGURIDAD
2013;4;43;TRANSPORTE
2013;4;49;SERVICIOS URBANOS
2013;4;44;ECOLOGIA
2013;4;46;INDUSTRIA Y COMERCIO
2013;4;48;SEGUROS Y FINANZAS
2013;4;45;TURISMO
2013;4;;SERVICIOS ECONOMICOS
2013;5;51;DEUDA PUBLICA – INTERESES Y GASTOS
2013;5;;DEUDA PUBLICA – INTERESES Y GASTOS
