ejercicio;chapter;article;heading;description;gasto/ingreso
2013;3;39;390;Crédito adicional para aplicaciones financieras;G
2013;1;;;Ingresos Corrientes;I
2013;1;11;;Ingresos tributarios;I
2013;1;11;110;Ingresos tributarios;I
2013;1;11;111;Impuestos Directos;I
2013;1;11;112;Impuestos Indirectos;I
2013;1;11;113;Impuestos Nacionales;I
2013;1;12;;Contribuciones a la seguridad social;I
2013;1;12;120;Contribuciones a la seguridad social;I
2013;1;13;;Ingresos no tributarios;I
2013;1;13;130;Ingresos no tributarios;I
2013;1;13;131;Tasas;I
2013;1;13;132;Derechos;I
2013;1;13;133;Otros no tributarios;I
2013;1;14;;Venta de bienes y servicios de las administraciones públicas;I
2013;1;14;140;Venta de bienes y servicios de las administraciones públicas;I
2013;1;15;;Ingresos de operación de Empresas y Sociedades del Estado;I
2013;1;15;150;Ingresos de operación de Empresas y Sociedades del Estado;I
2013;1;15;151;Ventas brutas;I
2013;1;15;152;Ingresos financieros de instituciones financieras;I
2013;1;15;153;Otros ingresos de operación;I
2013;1;16;;Rentas de la propiedad;I
2013;1;16;160;Rentas de la propiedad;I
2013;1;16;161;Intereses;I
2013;1;16;162;Dividendos;I
2013;1;16;163;Arrendamientos de tierras y terrenos;I
2013;1;16;164;Derechos sobre bienes intangibles;I
2013;1;17;;Transferencias corrientes;I
2013;1;17;170;Transferencias corrientes;I
2013;1;17;171;Del sector privado;I
2013;1;17;172;Del sector público;I
2013;1;17;173;Del sector externo;I
2013;1;18;;Contribuciones figurativas para financiaciones corrientes;I
2013;1;18;180;Contribuciones figurativas para financiaciones corrientes;I
2013;2;;;Recursos de Capital;I
2013;2;21;;Recursos propios de capital;I
2013;2;21;210;Recursos propios de capital;I
2013;2;21;211;Venta de activos;I
2013;2;21;212;Disminución de existencias;I
2013;2;21;213;Incremento de la depreciación y amortización acumulada;I
2013;2;22;;Transferencias de capital;I
2013;2;22;220;Transferencias de capital;I
2013;2;22;221;Del sector privado;I
2013;2;22;222;Del sector público;I
2013;2;22;223;Del sector externo;I
2013;2;23;;Disminución de la inversión financiera;I
2013;2;23;230;Disminución de la inversión financiera;I
2013;2;23;231;Venta de acciones y participaciones de capital;I
2013;2;23;232;Recuperación de préstamos de corto plazo;I
2013;2;23;236;Recuperación de préstamos de largo plazo;I
2013;2;24;;Contribuciones figurativas para financiaciones de capital;I
2013;2;24;240;Contribuciones figurativas para financiaciones de capital;I
2013;3;;;Fuentes Financieras;I
2013;3;31;;Disminución de la inversión financiera;I
2013;3;31;310;Disminución de la inversión financiera;I
2013;3;31;311;Venta de acciones y participaciones de capital;I
2013;3;31;312;Recuperación de préstamos de corto plazo;I
2013;3;31;313;Venta de títulos y valores;I
2013;3;31;314;Disminución de otros activos financieros;I
2013;3;31;316;Recuperación de préstamos de largo plazo;I
2013;3;32;;Endeudamiento público e incremento de otros pasivos;I
2013;3;32;320;Endeudamiento público e incremento de otros pasivos;I
2013;3;32;321;Colocación de deuda interna a corto plazo;I
2013;3;32;322;Colocación de deuda externa a corto plazo;I
2013;3;32;323;Obtención de préstamos a corto plazo;I
2013;3;32;325;Incremento de otros pasivos;I
2013;3;32;326;Colocación de deuda interna a largo plazo;I
2013;3;32;327;Colocación de deuda externa a largo plazo;I
2013;3;32;328;Obtención de préstamos a largo plazo;I
2013;3;32;329;Conversión de la deuda a corto plazo en a largo plazo por refinanciación;I
2013;3;33;;Incremento del patrimonio;I
2013;3;33;330;Incremento del patrimonio;I
2013;3;33;331;Incremento de capital;I
2013;3;33;332;Incremento de reservas;I
2013;3;33;333;Incremento de resultados acumulados;I
2013;3;34;;Contribuciones figurativas para aplicaciones financieras;I
2013;3;34;340;Contribuciones figurativas para aplicaciones financieras;I
