ejercicio;finalidad;funcion;descripcion
2016;1;11;LEGISLATIVA
2016;1;12;JUDICIAL
2016;1;13;DIRECCION EJECUTIVA
2016;1;17;CONTROL DE LA GESTION
2016;1;15;RELACIONES INTERIORES
2016;1;16;ADMINISTRACION FISCAL
2016;1;;ADMINISTRACION GUBERNAMENTAL
2016;3;35;CULTURA
2016;3;32;PROMOCION Y ACCION SOCIAL
2016;3;31;SALUD
2016;3;37;VIVIENDA
2016;3;36;TRABAJO
2016;3;38;AGUA POTABLE Y ALCANTARILLADO
2016;3;34;EDUCACION
2016;3;;SERVICIOS SOCIALES
2016;4;49;SERVICIOS URBANOS
2016;4;44;ECOLOGIA
2016;4;43;TRANSPORTE
2016;4;45;TURISMO
2016;4;46;INDUSTRIA Y COMERCIO
2016;4;48;SEGUROS Y FINANZAS
2016;4;;SERVICIOS ECONOMICOS
2016;2;22;SEGURIDAD INTERIOR
2016;2;;SERVICIOS DE SEGURIDAD
2016;5;51;DEUDA PUBLICA – INTERESES Y GASTOS
2016;5;;DEUDA PUBLICA – INTERESES Y GASTOS
