ejercicio;ubicacion_geografica;descripcion
2016;01;COMUNA 1
2016;14;COMUNA 14
2016;04;COMUNA 4
2016;03;COMUNA 3
2016;13;COMUNA 13
2016;12;COMUNA 12
2016;07;COMUNA 7
2016;08;COMUNA 8
2016;02;COMUNA 2
2016;05;COMUNA 5
2016;06;COMUNA 6
2016;09;COMUNA 9
2016;10;COMUNA 10
2016;11;COMUNA 11
2016;15;COMUNA 15
2016;89;ZONA EXTERNA A LA CIUDAD
2016;31;DISTRITO ESCOLAR 11
