ejercicio;finalidad;funcion;descripcion
2015;1;11;LEGISLATIVA
2015;1;17;CONTROL DE LA GESTION
2015;1;12;JUDICIAL
2015;1;13;DIRECCION EJECUTIVA
2015;1;15;RELACIONES INTERIORES
2015;1;16;ADMINISTRACION FISCAL
2015;1;;ADMINISTRACION GUBERNAMENTAL
2015;4;43;TRANSPORTE
2015;4;44;ECOLOGIA
2015;4;49;SERVICIOS URBANOS
2015;4;46;INDUSTRIA Y COMERCIO
2015;4;48;SEGUROS Y FINANZAS
2015;4;45;TURISMO
2015;4;;SERVICIOS ECONOMICOS
2015;3;35;CULTURA
2015;3;32;PROMOCION Y ACCION SOCIAL
2015;3;38;AGUA POTABLE Y ALCANTARILLADO
2015;3;37;VIVIENDA
2015;3;36;TRABAJO
2015;3;31;SALUD
2015;3;34;EDUCACION
2015;3;;SERVICIOS SOCIALES
2015;2;22;SEGURIDAD INTERIOR
2015;2;;SERVICIOS DE SEGURIDAD
2015;5;51;DEUDA PUBLICA – INTERESES Y GASTOS
2015;5;;DEUDA PUBLICA – INTERESES Y GASTOS
